rsi,vol,depth,mom,trend,ex_3,ex_6,ex_10
47.9446,1.2046,0.7811,1.0000,-2.1229,1.7054161440446813,1.8760930595549785,20.654618352691035
57.5985,1.2327,0.0872,1.0000,3.0210,2.8603233589682318,0.8173605012610385,1.135913562612279
44.7565,0.7035,1.0605,1.0000,-1.9348,3.5066940609220247,3.178522509583171,5.845022017137826
44.0322,1.4150,1.5185,1.0000,-3.4414,-0.36059416377691467,0.08574792187110472,-0.20513024633649146
61.3024,2.2110,0.3069,1.0000,0.8995,0.4862676940913383,2.4131320834657637,2.8134117792428492
46.7241,0.3784,0.4994,1.0000,-0.7566,0.745573267786939,0.6862739503536778,0.6213414858861641
41.7582,0.3052,0.8214,1.0000,-2.0293,1.001205254094564,-0.1421702819333289,-1.2041936709393333
41.5768,0.8515,0.4670,-0.6136,-1.8198,-0.7427478977380472,-3.3830069651557877,-6.4790455269883
36.9722,2.0518,1.7237,1.0000,-4.1882,0.6933266790991736,-0.4392526261018489,-0.4490806492498758
50.4245,0.9054,0.4961,1.0000,-0.0792,-1.3698516186063523,-1.7842696466901393,-1.4537099114336518
45.1491,0.7692,0.5180,1.0000,-1.1381,-0.41250495390417774,-1.3141956948385265,3.7256429681963876
46.7977,0.8686,0.5349,1.0000,-1.0115,0.012007411055439426,3.810617267324235,-0.6069880247954054
49.0050,1.1070,0.5243,1.0000,-0.8632,3.799137180194059,-0.5322251661856178,-1.7796371512918887
50.6570,0.7739,0.5816,1.0000,-0.7368,0.6488564058203442,2.446302302833803,-0.1982532268946049
50.8080,0.7418,0.5470,1.0000,-0.4034,1.0670918594427727,-6.006915089916354,-5.863706198158744
55.9731,2.1945,0.3609,0.9543,0.5449,-6.98701777335625,-5.598821165489787,-4.891475935108778
49.5876,0.6778,1.0310,1.0000,-2.6495,2.1063534402619015,2.218654861321912,4.1312516492839535
50.3414,0.8129,0.3594,1.0000,-0.1834,-3.469371817484232,-2.9420097080029457,2.270229274128046
63.6532,1.8628,0.1924,1.0000,2.3403,-0.32070109576073114,-0.8719030542280845,-1.1353169100898544
49.5160,0.9171,0.7920,1.0000,-1.1642,0.05164439981361321,-1.8029345014912042,-1.1528961364807169
44.1111,1.1165,1.5414,1.0000,-3.7902,-2.9886057305209186,-2.818555627015484,-7.034181183716446
34.8583,1.6523,1.9867,1.0000,-6.4227,-0.3688966689427283,3.258747147607855,6.492106950064849
56.5189,2.0427,0.2944,1.0000,1.9147,0.06135422376178065,2.2436639433555343,3.6277859371243304
50.9727,1.1230,0.6149,1.0000,-0.9066,-5.7824428870145805,-7.8929711233332585,-12.662064963330142
38.0101,1.4321,2.9180,1.0000,-7.7543,-0.6517841447114622,1.4776424775095003,3.4904269510182573
46.6403,2.3243,4.2576,1.0000,-7.3296,3.349655227423978,0.3255075295519164,-2.7850743492370693
61.7405,0.9588,0.0770,1.0000,5.5941,0.5748555197741781,0.05697755785709671,-1.3813312045991435
48.6823,0.5838,0.6988,1.0000,-1.3636,0.39276424185707126,-0.8603135252973179,-0.577888783959333
53.8802,1.4912,0.5326,1.0000,-0.3944,0.6338238686360101,0.08756971287129414,-0.31986645379845435
59.0270,1.6136,0.3485,1.0000,1.3091,6.892908076981921,6.30307498276248,9.016685018996563
53.7659,0.9113,0.0711,1.0000,0.3476,1.763558009739277,2.0419754172637643,1.8483617395150052
42.3406,0.9214,0.5498,1.0000,-1.9568,1.0117995132253113,0.5680736860308903,0.34287046286364453
40.6765,1.2930,1.2001,1.0000,-2.9167,-0.8648584857521043,-0.6240741662309809,-1.4111101725404176
33.0035,1.0583,1.4488,1.0000,-4.4307,2.918340456042881,4.267755150330799,2.924572172623199
49.6534,1.3422,0.5544,1.0000,-0.8627,0.5626632606001184,2.6239278429984307,2.605159322663333
44.9854,1.1474,0.7534,1.0000,-1.3180,-2.059262691451966,-4.3084687838575775,-2.8887566388777186
41.0455,1.2735,1.1981,1.0000,-3.5598,0.8706660943815917,0.3318138450360001,-2.3482727121466684
52.2476,1.8735,0.6007,1.0000,-0.8286,0.008449899206577655,1.7674651030197945,1.625802283814761
49.5468,0.8497,0.7418,1.0000,-1.1293,-0.7057817609869873,-1.0629406436243434,-2.4011616146623593
48.0300,1.1428,1.4448,1.0000,-3.2950,6.454706306611282,7.964169413578515,7.961228831952396
44.1727,0.7569,1.1360,1.0000,-3.0161,-0.5723691450675894,-0.796249434960755,0.21755160838932258
41.2686,0.6600,1.0244,1.0000,-3.1260,-0.5082846457112133,-0.908273451212632,-1.1174255133678856
54.3786,0.9244,0.1234,1.0000,0.3920,0.3188025109161241,-0.24197269957175177,-1.6336629236161182
37.1282,0.9740,2.1148,1.0000,-5.7313,1.1194819635247455,2.038135902802002,1.8438520132820113
48.4616,1.1442,0.9484,1.0000,-2.0566,-0.9713490709264005,-2.278417787862291,-2.192013313642159
56.2814,1.9811,0.8724,1.0000,0.2881,-0.10123892041812634,2.3900343821814443,4.731206812853862
54.7435,0.7593,0.1385,1.0000,0.5820,0.41184505843366526,-0.6126609407915593,3.380411718003319
52.7304,0.6948,0.1499,1.0000,-0.2139,-1.916447787401313,-0.23423726392838834,0.694991857713313
54.2985,1.0987,0.1715,1.0000,0.0176,0.953385214111665,0.8234761298508366,-0.5935580004430718
55.7020,0.8198,0.0004,1.0000,0.5380,-1.9133985657704555,-3.4096304685760357,-4.725176696244604
46.7597,2.6117,0.7947,1.0000,-1.4535,-1.2178671676885167,-0.3217630398560543,7.210613213513618
20.5400,1.0166,4.0808,1.0000,-11.1412,0.022022797369810596,2.496164219240288,5.964061292455503
51.3737,1.5513,0.6405,1.0000,-1.0540,0.13813748221288225,-1.6063301935236804,0.2627739974366839
53.4362,2.1469,0.3680,0.5428,-0.7872,0.04395545516651887,1.9415424958872998,1.81383961001096
